合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,371.80,371.80,370.00,370.27,1.31,0.36%,370.68,226.00,"83,774,000.00",-,,
Au99.99,370.00,372.30,369.66,370.15,0.95,0.26%,371.11,"14,020.80","5,205,310,748.00",-,,
Au100g,370.28,372.00,369.80,370.98,1.40,0.38%,371.34,18.20,"6,758,444.00",-,,
iAu99.99,369.53,370.60,369.53,370.28,4.04,1.10%,370.31,480.42,"177,906,563.80",-,,
Au(T+D),369.92,372.48,369.50,370.11,2.00,0.54%,371.22,"34,516.00","12,813,173,820.00","170,440",空支付给多,"15,028"
Au(T+N1),371.50,374.00,371.20,371.80,2.00,0.54%,372.35,357.20,"133,003,430.00","147,412",多支付给空,600
Au(T+N2),373.00,375.60,372.70,374.15,3.60,0.97%,374.25,73.40,"27,469,600.00","88,004",多支付给空,200
mAu(T+D),370.10,372.48,369.50,370.01,2.10,0.57%,371.12,"5,687.20","2,110,677,518.00","470,268",多支付给空,"30,620"
Pt99.95,268.51,268.51,265.86,265.90,-2.36,-0.88%,266.03,610.00,"162,280,620.00",-,,
Ag(T+D),"5,292","5,339","5,250","5,267",37,0.71%,"5,297","5,515,938.00","29,221,077,656.00","8,305,376",空支付给多,"263,010"
NYAuTN06,369.90,372.10,369.90,370.10,2.05,0.56%,371.50,89.40,"33,214,350.00","36,760",,
NYAuTN12,374.70,377.10,374.70,374.95,1.75,0.47%,375.75,143.60,"53,960,690.00","24,160",,
PGC30g,376.35,377.80,376.35,377.07,3.13,0.84%,377.07,0.30,"113,122.20",-,,
