合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,404.00,404.00,402.10,402.38,0.83,0.21%,403.29,502.00,"202,454,900.00",-,,
Au99.99,402.02,404.60,402.02,402.66,1.10,0.27%,403.37,"10,358.14","4,177,980,463.00",-,,
Au100g,402.85,404.98,402.01,403.67,0.48,0.12%,404.04,20.80,"8,404,154.00",-,,
iAu99.99,410.00,410.00,410.00,410.00,9.00,2.24%,410.00,0.28,"114,800.00",-,,
Au(T+D),402.50,404.58,402.00,402.51,1.60,0.40%,403.22,"49,374.00","19,908,826,060.00","209,984",多支付给空,"8,460"
Au(T+N1),409.90,411.35,409.85,409.90,1.75,0.43%,410.65,27.40,"11,251,320.00","38,912",,
Au(T+N2),402.00,405.50,402.00,404.70,3.00,0.75%,404.85,334.00,"135,225,340.00","133,816",多支付给空,
mAu(T+D),403.00,405.00,402.17,402.66,1.66,0.41%,403.47,"7,358.20","2,968,865,168.00","452,484",多支付给空,"26,352"
Pt99.95,194.80,196.30,194.00,195.20,0.75,0.39%,195.08,152.00,"29,653,380.00",-,,
Ag99.99,"5,058","5,058","5,058","5,058",-74,-1.44%,"5,058","3,000.00","15,174,000.00",200,,
Ag(T+D),"5,141","5,196","4,967","5,021",-69,-1.36%,"5,096","24,916,764.00","126,991,768,706.00","11,482,692",多支付给空,"148,560"
NYAuTN06,414.15,418.00,413.05,415.80,2.25,0.54%,416.00,284.60,"118,401,540.00","43,816",,
NYAuTN12,411.90,413.40,410.50,411.25,1.40,0.34%,411.80,833.80,"343,345,650.00","44,092",,
PGC30g,409.01,409.01,408.50,408.68,3.83,0.95%,408.77,0.42,"171,685.20",-,,
