合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,384.01,389.00,384.00,388.40,4.14,1.08%,387.69,210.00,"81,415,100.00",-,,
Au99.99,385.45,389.45,384.01,388.47,3.97,1.03%,387.10,"28,166.64","10,880,410,174.80",-,,
Au100g,387.29,389.68,382.98,389.46,4.31,1.12%,387.30,38.00,"14,717,626.00",-,,
iAu99.99,384.27,388.00,384.27,387.90,6.97,1.83%,387.27,90.22,"34,939,507.40",-,,
Au(T+D),386.70,389.50,383.51,388.44,3.74,0.97%,386.73,"66,846.00","25,851,358,520.00","163,166",空支付给多,"7,478"
Au(T+N1),389.95,392.95,388.00,392.55,4.90,1.26%,389.60,17.20,"6,701,030.00","156,590",,
Au(T+N2),393.35,395.95,393.15,394.45,3.80,0.97%,393.55,"2,013.20","792,300,480.00","63,922",多支付给空,200
mAu(T+D),386.90,389.40,383.60,388.47,3.89,1.01%,387.21,"14,247.40","5,516,769,274.00","620,644",多支付给空,"30,058"
Pt99.95,236.09,240.90,236.09,240.82,8.53,3.67%,238.70,614.00,"146,564,660.00",-,,
Ag(T+D),"5,573","5,896","5,440","5,891",551,10.32%,"5,652","23,027,136.00","130,158,462,226.00","10,106,544",多支付给空,120
NYAuTN06,389.55,391.50,387.00,390.25,1.20,0.31%,389.15,505.20,"196,609,870.00","40,508",,
NYAuTN12,395.25,396.20,391.90,395.30,1.60,0.41%,394.25,73.80,"29,095,060.00","13,112",,
PGC30g,390.00,394.30,389.79,394.12,5.08,1.31%,392.70,1.14,"447,680.40",-,,
