合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,378.60,378.80,377.90,378.62,0.32,0.08%,378.19,314.00,"118,752,600.00",-,,
Au99.99,379.90,380.70,278.39,378.85,0.40,0.11%,377.24,"17,646.40","6,608,037,429.40",-,,
Au100g,380.50,381.00,378.01,378.37,-1.40,-0.37%,379.45,43.20,"16,392,562.00",-,,
iAu99.99,379.00,379.00,379.00,379.00,-3.00,-0.79%,379.00,0.02,"7,580.00",-,,
Au(T+D),379.28,380.07,377.23,378.54,-0.09,-0.02%,378.59,"34,514.00","13,066,920,940.00","244,568",多支付给空,"9,904"
Au(T+N1),385.05,385.10,383.00,384.65,-0.15,-0.04%,384.65,1.00,"384,630.00","40,370",,
Au(T+N2),380.70,381.05,377.10,378.90,0.45,0.12%,377.85,9.60,"3,627,490.00","138,322",多支付给空,
mAu(T+D),380.00,380.50,377.51,378.74,-0.14,-0.04%,378.88,"4,420.00","1,674,672,878.00","522,624",多支付给空,"13,554"
Pt99.95,213.54,213.54,212.46,212.99,0.50,0.24%,213.09,142.00,"30,258,820.00",-,,
Ag(T+D),"4,875","4,892","4,821","4,865",32,0.66%,"4,861","10,411,118.00","50,613,360,676.00","12,122,196",多支付给空,"28,050"
NYAuTN06,389.30,390.50,387.30,388.40,-1.05,-0.27%,388.85,162.20,"63,071,980.00","45,338",,
NYAuTN12,384.20,385.50,382.05,383.15,-0.65,-0.17%,383.55,166.60,"63,898,800.00","40,062",,
PGC30g,384.11,384.28,383.80,384.00,0.52,0.14%,384.09,0.78,"299,596.20",-,,
