合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,401.50,402.40,401.30,402.29,0.21,0.05%,401.88,322.00,"129,406,500.00",-,,
Au99.99,403.50,404.48,400.61,402.30,-0.55,-0.14%,402.10,"14,711.74","5,783,585,629.00",-,,
Au100g,403.77,404.88,401.50,402.97,-0.51,-0.13%,403.03,28.20,"11,365,600.00",-,,
iAu99.99,405.00,405.00,405.00,405.00,-5.00,-1.22%,405.00,0.02,"8,100.00",-,,
Au(T+D),402.64,404.27,400.13,401.96,0.08,0.02%,402.29,"32,336.00","13,008,531,780.00","215,072",多支付给空,"5,256"
Au(T+N1),411.00,411.10,408.00,409.25,0.25,0.06%,410.85,23.40,"9,614,190.00","35,290",,
Au(T+N2),402.55,405.45,402.00,403.90,1.00,0.25%,403.60,16.00,"6,457,310.00","158,420",,
mAu(T+D),403.02,404.41,400.39,402.29,0.36,0.09%,402.53,"4,525.40","1,821,625,138.00","895,228",多支付给空,"53,698"
Pt99.95,196.50,196.50,193.72,194.53,-3.34,-1.69%,194.90,722.00,"141,028,100.00",-,,
Ag99.99,"5,120","5,120","5,120","5,120",-2,-0.04%,"5,120",30.00,"153,600.00",2,,
Ag(T+D),"5,116","5,194","5,058","5,089",-36,-0.70%,"5,132","15,472,372.00","79,409,793,732.00","11,895,186",多支付给空,"7,710"
NYAuTN06,416.50,417.65,413.20,414.70,-0.35,-0.08%,415.05,121.80,"50,550,750.00","33,020",,
NYAuTN12,413.05,414.45,410.10,411.85,-0.20,-0.05%,411.45,351.20,"144,509,710.00","90,298",,
PGC30g,408.97,408.97,407.22,407.99,1.72,0.42%,407.99,0.24,"97,919.40",-,,
