合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,421.00,421.00,418.50,419.33,2.23,0.53%,419.04,156.00,"65,370,820.00",-,,
Au99.99,419.69,421.00,417.56,419.00,0.82,0.20%,420.00,"8,712.02","3,659,055,569.40",-,,
Au100g,420.79,421.32,417.85,419.63,1.37,0.33%,419.86,49.20,"20,657,366.00",-,,
iAu99.99,435.00,435.00,421.10,428.41,0.91,0.21%,429.06,0.98,"420,479.00",-,,
Au(T+D),420.00,420.96,417.71,418.70,1.68,0.40%,419.52,"62,450.00","26,199,519,700.00","243,598",多支付给空,"9,192"
Au(T+N1),427.00,430.00,426.05,428.30,4.45,1.05%,428.15,8.40,"3,596,440.00","32,456",,
Au(T+N2),423.80,424.50,420.60,422.30,4.10,0.98%,422.95,59.20,"25,039,190.00","154,402",,
mAu(T+D),420.35,421.00,417.75,418.91,1.74,0.42%,419.60,"7,459.20","3,129,949,058.00","952,744",空支付给多,"29,290"
Pt99.95,214.86,215.79,214.00,215.22,0.22,0.10%,215.52,598.00,"128,885,880.00",-,,
Ag(T+D),"6,128","6,210","6,011","6,118",134,2.24%,"6,107","21,580,594.00","131,792,780,264.00","11,991,920",多支付给空,
NYAuTN06,441.00,443.00,438.25,440.45,2.50,0.57%,440.50,133.80,"58,936,800.00","22,848",,
NYAuTN12,436.75,437.85,433.65,435.20,3.55,0.82%,435.85,424.20,"184,900,120.00","96,008",,
PGC30g,423.77,425.95,423.77,425.62,5.01,1.19%,425.31,0.36,"153,113.40",-,,
