合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,372.00,374.65,372.00,374.37,4.13,1.12%,374.09,"1,114.00","453,214,400.00",-,,
Au99.99,370.00,375.00,370.00,374.70,3.56,0.96%,373.46,"12,896.20","4,922,746,692.60",-,,
Au100g,367.21,375.00,367.21,374.83,4.29,1.16%,372.68,45.00,"16,770,926.00",-,,
iAu99.99,372.00,373.90,372.00,372.68,2.83,0.77%,372.68,44.04,"16,413,080.00",-,,
Au(T+D),370.10,374.80,370.10,374.65,4.31,1.16%,373.21,"28,108.00","10,490,259,040.00","158,778",空支付给多,"6,464"
Au(T+N1),376.00,378.00,375.00,377.60,3.10,0.83%,376.50,5.80,"2,183,720.00",704,,
Au(T+N2),373.50,375.00,371.70,374.35,3.70,1.00%,373.75,8.00,"2,990,040.00","89,030",,
mAu(T+D),370.40,374.82,370.01,374.65,4.20,1.13%,372.94,"3,941.40","1,469,931,112.00","549,260",空支付给多,"20,310"
Pt99.95,221.90,223.46,221.90,222.09,1.60,0.73%,222.73,328.00,"73,057,380.00",-,,
Ag(T+D),"5,050","5,113","5,050","5,092",15,0.30%,"5,087","2,594,704.00","13,201,670,576.00","7,162,102",多支付给空,"42,420"
NYAuTN06,376.80,380.65,376.80,380.55,4.00,1.06%,378.60,223.80,"84,735,330.00","15,958",,
NYAuTN12,373.30,376.80,372.90,376.75,4.40,1.18%,374.25,339.60,"127,096,650.00","35,426",,
PGC30g,377.77,380.30,377.77,379.91,2.84,0.75%,379.46,0.54,"204,908.40",-,,
