合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,417.00,417.00,406.00,412.68,-3.32,-0.80%,412.58,982.00,"406,935,520.00",-,,
Au99.99,415.04,417.00,412.38,413.70,-2.76,-0.66%,413.37,"10,540.84","4,252,368,442.20",-,,
Au100g,417.24,417.24,412.86,413.63,-3.15,-0.76%,414.21,52.00,"21,539,422.00",-,,
iAu99.99,414.00,414.00,414.00,414.00,-8.00,-1.90%,414.00,0.02,"8,280.00",-,,
Au(T+D),415.70,417.27,412.01,413.22,-2.32,-0.56%,414.11,"61,172.00","25,332,082,540.00","260,818",多支付给空,"9,178"
Au(T+N1),425.60,425.60,420.50,420.95,-2.95,-0.70%,422.35,8.60,"3,632,430.00","31,826",,
Au(T+N2),419.90,419.90,414.10,414.90,-4.85,-1.16%,416.40,18.40,"7,661,740.00","156,528",,
mAu(T+D),416.22,417.39,412.15,413.22,-2.43,-0.58%,415.00,"10,467.40","4,344,072,206.00","993,514",多支付给空,"25,976"
Pt99.95,215.64,215.80,213.70,214.03,-7.86,-3.54%,214.23,496.00,"106,231,260.00",-,,
Ag99.99,"5,832","5,837","5,832","5,834",-18,-0.31%,"5,834","15,660.00","91,368,270.00","1,044",,
Ag(T+D),"5,884","5,912","5,736","5,740",-142,-2.41%,"5,823","16,669,088.00","97,071,936,998.00","12,553,094",多支付给空,"14,850"
NYAuTN06,433.70,435.00,428.85,429.35,-3.80,-0.88%,431.55,123.00,"53,080,590.00","23,928",,
NYAuTN12,429.90,430.90,425.05,425.40,-3.90,-0.91%,426.90,194.20,"82,905,650.00","91,794",,
PGC30g,421.41,421.41,418.00,418.34,-3.50,-0.83%,418.84,1.56,"653,403.00",-,,
