合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,392.50,396.10,392.50,395.96,-11.45,-2.81%,394.51,372.00,"146,761,200.00",-,,
Au99.99,405.15,405.15,392.00,396.69,-9.51,-2.34%,394.68,"19,332.54","7,512,337,020.60",-,,
Au100g,404.00,404.00,393.00,397.88,-9.41,-2.31%,396.25,96.40,"38,199,346.00",-,,
iAu99.99,399.00,399.00,396.01,397.50,-7.50,-1.85%,397.50,0.40,"159,002.00",-,,
Au(T+D),403.28,403.28,391.00,395.86,-12.18,-2.99%,395.26,"108,152.00","42,748,472,680.00","225,012",多支付给空,"16,510"
Au(T+N1),411.00,411.00,398.00,401.50,-15.85,-3.80%,403.35,584.20,"235,638,070.00","40,202",,
Au(T+N2),405.00,406.75,392.45,395.05,-14.80,-3.61%,396.45,78.20,"31,003,820.00","134,358",多支付给空,
mAu(T+D),403.98,403.98,391.40,396.27,-11.99,-2.94%,395.38,"17,732.60","7,011,131,286.00","489,610",空支付给多,"49,666"
Pt99.95,195.08,195.73,191.00,195.51,-3.90,-1.96%,193.75,518.00,"100,367,620.00",-,,
Ag99.99,"5,085","5,090","5,070","5,079",-77,-1.49%,"5,079","20,040.00","101,788,500.00","1,336",,
Ag(T+D),"5,262","5,262","4,975","5,078",-294,-5.47%,"5,093","30,544,158.00","155,575,589,766.00","11,706,478",多支付给空,"480,270"
NYAuTN06,418.00,440.00,400.20,409.00,-12.85,-3.05%,407.10,289.40,"117,813,220.00","44,376",,
NYAuTN12,412.10,412.10,397.50,402.50,-13.70,-3.29%,400.90,757.60,"303,710,780.00","44,228",,
PGC30g,403.65,405.85,398.06,399.59,-13.25,-3.21%,399.89,2.28,"911,760.60",-,,
