合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,394.00,399.90,394.00,399.53,3.57,0.90%,394.49,292.00,"115,192,740.00",-,,
Au99.99,394.02,396.00,394.02,396.00,-0.69,-0.17%,394.75,"11,643.66","4,548,584,462.60",-,,
Au100g,395.19,397.69,394.50,396.48,-1.40,-0.35%,395.89,37.20,"14,727,152.00",-,,
Au(T+D),394.50,395.40,393.60,393.82,-1.44,-0.36%,394.24,"33,670.00","13,274,106,040.00","227,742",多支付给空,"13,560"
Au(T+N1),403.45,403.45,401.00,401.20,-2.15,-0.53%,402.35,58.80,"23,657,460.00","39,942",,
Au(T+N2),396.15,396.70,394.40,395.25,-1.20,-0.30%,394.80,17.00,"6,711,980.00","134,356",多支付给空,
mAu(T+D),394.87,395.76,394.04,394.41,-0.97,-0.25%,394.80,"5,677.20","2,241,413,002.00","477,540",多支付给空,"36,704"
Pt99.95,194.78,197.65,193.23,197.47,1.96,1.00%,196.14,92.00,"18,342,760.00",-,,
Ag99.99,"5,108","5,108","5,108","5,108",29,0.57%,"5,108",30.00,"153,240.00",2,,
Ag(T+D),"5,050","5,090","5,026","5,059",-34,-0.67%,"5,063","8,943,608.00","45,289,175,774.00","11,912,754",多支付给空,"38,880"
NYAuTN06,407.00,408.50,406.15,407.00,-0.10,-0.02%,407.15,32.80,"13,353,990.00","44,204",,
NYAuTN12,401.20,402.05,400.40,400.65,-0.25,-0.06%,401.05,82.60,"33,126,260.00","44,236",,
PGC30g,399.93,399.93,399.69,399.77,0.18,0.05%,399.77,0.18,"71,958.60",-,,
