合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,391.31,391.61,390.50,390.67,1.51,0.39%,390.96,58.00,"22,675,760.00",-,,
Au99.99,390.00,392.50,388.02,390.80,1.40,0.36%,391.54,"9,245.18","3,625,222,279.00",-,,
Au100g,391.00,392.50,389.14,390.83,1.07,0.27%,391.31,24.80,"9,704,604.00",-,,
iAu99.99,390.20,390.20,388.75,389.74,1.56,0.40%,389.89,60.06,"23,417,359.00",-,,
Au(T+D),389.82,392.37,388.23,390.82,1.33,0.34%,391.00,"40,806.00","15,955,205,520.00","173,744",空支付给多,"12,898"
Au(T+N1),391.95,394.50,390.15,391.45,1.55,0.40%,393.35,92.00,"36,189,450.00","132,558",多支付给空,400
Au(T+N2),391.00,394.90,391.00,393.25,0.85,0.22%,393.30,5.80,"2,281,150.00","89,006",多支付给空,
mAu(T+D),390.57,392.25,388.38,390.76,1.34,0.34%,390.76,"4,811.80","1,880,261,950.00","512,680",空支付给多,"29,054"
Pt99.95,256.77,256.77,250.48,250.97,-5.94,-2.31%,252.37,754.00,"190,289,540.00",-,,
Ag99.99,"5,717","5,717","5,717","5,717",-221,-3.72%,"5,717",210.00,"1,200,570.00",14,,
Ag(T+D),"5,695","5,762","5,581","5,693",-14,-0.25%,"5,670","8,335,734.00","47,266,661,438.00","7,829,488",空支付给多,"314,490"
NYAuTN06,391.40,391.80,388.50,391.25,1.90,0.49%,391.15,186.20,"72,835,250.00","35,534",,
NYAuTN12,394.40,395.70,392.00,394.60,1.90,0.48%,394.95,269.00,"106,248,590.00","26,594",,
PGC30g,396.61,396.61,396.61,396.61,1.48,0.37%,396.61,0.06,"23,796.60",-,,
