合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,381.00,382.20,380.00,381.88,5.88,1.56%,381.15,96.00,"36,591,000.00",-,,
Au99.99,376.40,383.00,375.60,382.20,6.53,1.74%,381.08,"11,487.20","4,375,608,600.20",-,,
Au100g,376.75,382.70,376.50,382.31,5.70,1.51%,380.21,25.40,"9,657,514.00",-,,
iAu99.99,375.60,382.00,375.60,381.58,6.22,1.66%,380.45,7.30,"2,777,324.00",-,,
Au(T+D),375.89,383.85,375.20,382.25,6.12,1.63%,380.90,"55,676.00","21,207,155,220.00","155,480",多支付给空,"8,618"
Au(T+N1),380.00,386.00,380.00,385.00,6.35,1.68%,384.10,10.40,"3,994,560.00",786,,
Au(T+N2),378.00,382.50,378.00,381.75,5.25,1.39%,381.10,124.20,"47,334,500.00","91,866",,336
mAu(T+D),375.95,383.80,375.43,381.71,5.30,1.41%,381.13,"13,030.20","4,966,295,532.00","528,460",多支付给空,"74,444"
Pt99.95,229.00,231.73,228.50,231.53,5.91,2.62%,230.47,254.00,"58,541,600.00",-,,
Ag(T+D),"4,947","5,143","4,933","5,123",164,3.31%,"5,071","6,088,958.00","30,881,519,454.00","6,895,342",多支付给空,"173,700"
NYAuTN06,381.50,388.05,381.50,386.85,6.25,1.64%,386.35,169.80,"65,606,640.00","23,208",,
NYAuTN12,376.65,384.55,376.65,383.60,6.40,1.70%,382.40,150.80,"57,668,170.00","22,560",,
PGC30g,385.00,388.30,385.00,387.95,4.79,1.25%,386.99,0.78,"301,857.00",-,,
