合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,396.00,397.00,390.00,394.92,1.17,0.30%,395.11,22.00,"8,692,620.00",-,,
Au99.99,395.90,397.49,393.40,395.64,1.55,0.39%,395.28,"8,032.00","3,106,409,237.00",-,,
Au100g,397.44,398.11,390.00,395.19,1.18,0.30%,395.05,27.00,"10,666,376.00",-,,
iAu99.99,396.71,396.77,394.50,394.98,0.28,0.07%,396.05,275.20,"108,995,672.80",-,,
Au(T+D),396.01,397.33,394.20,395.00,1.99,0.51%,395.54,"15,440.00","6,107,256,680.00","165,208",多支付给空,"13,868"
Au(T+N1),395.50,398.60,395.20,396.80,1.70,0.43%,396.60,10.00,"3,966,040.00","73,298",,
Au(T+N2),401.50,401.90,399.10,399.50,0.45,0.11%,399.70,34.40,"13,749,700.00","73,880",,
mAu(T+D),394.55,397.38,394.29,395.07,1.85,0.47%,395.71,"2,952.40","1,168,321,186.00","646,120",空支付给多,"16,314"
Pt99.95,220.24,220.24,219.44,219.64,2.44,1.12%,219.64,404.00,"90,970,080.00",-,,
Ag(T+D),"5,102","5,139","5,082","5,101",75,1.49%,"5,109","1,722,176.00","8,798,744,880.00","6,951,422",多支付给空,"401,910"
NYAuTN06,399.00,399.90,396.00,397.50,1.50,0.38%,397.95,36.40,"14,486,380.00","35,614",,
NYAuTN12,403.50,404.60,401.10,401.95,2.30,0.58%,402.85,39.00,"15,710,880.00","67,556",,
PGC30g,401.09,401.09,400.15,400.62,2.64,0.66%,400.62,0.12,"48,074.40",-,,
