合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,364.90,364.90,363.00,363.21,-2.59,-0.71%,363.70,196.00,"71,286,680.00",-,,
Au99.99,367.70,367.70,363.01,363.99,-1.46,-0.40%,364.29,"16,119.68","5,880,152,581.80",-,,
Au100g,363.07,366.99,363.07,364.09,-1.41,-0.39%,364.81,44.00,"16,051,706.00",-,,
iAu99.99,366.00,366.00,363.86,365.09,-1.62,-0.44%,365.09,0.80,"292,072.00",-,,
iAu100g,260.00,260.00,260.00,260.00,-25.00,-8.77%,260.00,0.20,"52,000.00",-,,
Au(T+D),365.20,367.39,363.00,364.00,-2.62,-0.71%,365.19,"98,706.00","36,046,761,460.00","249,922",多支付给空,"16,492"
Au(T+N1),367.35,368.50,364.10,364.90,-2.60,-0.71%,365.85,63.60,"23,269,840.00","195,068",,
Au(T+N2),369.70,370.00,366.90,367.15,-3.00,-0.81%,368.25,18.20,"6,701,990.00","117,862",,
mAu(T+D),365.28,367.30,363.01,364.16,-2.43,-0.66%,365.20,"16,081.60","5,873,097,630.00","923,238",多支付给空,"34,396"
Pt99.95,175.20,178.33,172.00,172.00,-7.00,-3.91%,174.51,640.00,"111,686,720.00",-,,
Ag99.99,"3,382","3,382","3,382","3,382",-198,-5.53%,"3,382",720.00,"2,435,040.00",48,,
Ag(T+D),"3,511","3,537","3,335","3,361",-195,-5.48%,"3,424","22,721,960.00","77,806,034,452.00","10,349,728",空支付给多,"13,800"
NYAuTN06,368.10,370.05,366.05,367.85,-1.35,-0.37%,368.10,874.60,"321,931,500.00","61,232",,
NYAuTN12,368.65,371.70,368.10,369.50,-1.75,-0.47%,369.85,175.00,"64,724,310.00","39,990",,
PGC30g,371.21,372.59,369.29,369.66,-2.78,-0.75%,370.21,0.84,"310,976.40",-,,
