合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,384.40,385.65,384.40,384.86,-0.95,-0.25%,384.59,310.00,"119,223,200.00",-,,
Au99.99,386.88,386.88,383.90,384.73,-1.27,-0.33%,384.70,"14,290.20","5,521,584,986.60",-,,
Au100g,386.10,387.80,383.67,386.56,0.15,0.04%,385.52,20.80,"8,018,978.00",-,,
iAu99.99,387.00,387.00,387.00,387.00,48.68,14.39%,387.00,0.20,"77,400.00",-,,
Au(T+D),386.37,386.90,383.26,384.89,-0.97,-0.25%,384.94,"24,198.00","9,314,909,660.00","168,082",多支付给空,"13,296"
Au(T+N1),385.10,386.70,383.10,385.15,-0.65,-0.17%,385.15,9.20,"3,543,280.00","105,358",多支付给空,
Au(T+N2),385.70,386.60,385.00,386.25,-0.70,-0.18%,385.60,11.40,"4,395,760.00","89,660",,
mAu(T+D),386.30,386.88,383.40,384.62,-1.19,-0.31%,384.91,"3,673.20","1,413,861,742.00","528,704",多支付给空,"25,042"
Pt99.95,246.00,247.48,243.00,243.62,-3.39,-1.37%,244.72,"1,056.00","258,429,980.00",-,,
Ag99.99,"5,606","5,606","5,606","5,606",-35,-0.62%,"5,606",360.00,"2,018,160.00",24,,
Ag(T+D),"5,586","5,645","5,568","5,581",-12,-0.21%,"5,603","4,122,302.00","23,101,040,400.00","8,328,576",空支付给多,
NYAuTN06,389.15,390.00,386.85,387.50,-1.80,-0.46%,387.85,121.80,"47,238,590.00","32,956",,
NYAuTN12,392.85,394.00,390.75,391.05,-2.20,-0.56%,391.85,878.80,"344,371,120.00","42,922",,
PGC30g,390.50,391.00,390.50,390.65,-0.75,-0.19%,390.63,0.36,"140,627.40",-,,
