合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,377.30,377.80,377.30,377.50,-0.39,-0.10%,377.57,192.00,"72,495,100.00",-,,
Au99.99,379.98,379.98,375.20,377.38,-0.17,-0.05%,377.39,"19,675.76","7,594,900,725.20",-,,
Au100g,375.38,378.20,375.38,377.98,1.11,0.29%,377.58,23.00,"8,684,546.00",-,,
iAu99.99,376.60,377.50,376.50,377.24,0.02,0.01%,376.77,"1,484.20","559,202,500.00",-,,
Au(T+D),376.98,377.95,374.80,377.27,-0.41,-0.11%,376.75,"16,978.00","6,396,541,640.00","142,076",多支付给空,"8,932"
Au(T+N1),380.00,380.80,378.60,380.35,0.15,0.04%,380.15,4.60,"1,748,740.00",696,,
Au(T+N2),377.60,378.90,377.60,378.80,0.45,0.12%,378.65,46.80,"17,720,200.00","88,770",,
mAu(T+D),377.20,377.95,374.51,377.32,-0.39,-0.10%,376.98,"5,459.00","2,057,982,622.00","526,386",多支付给空,"21,014"
Pt99.95,218.20,219.61,216.43,219.41,0.16,0.07%,218.80,236.00,"51,637,560.00",-,,
Ag(T+D),"5,118","5,127","5,061","5,079",-29,-0.57%,"5,090","3,063,622.00","15,596,251,366.00","7,083,472",空支付给多,"52,650"
NYAuTN06,383.00,383.50,380.95,382.75,-1.25,-0.33%,382.60,13.60,"5,203,180.00","20,024",,
NYAuTN12,379.05,380.00,377.50,379.60,-0.70,-0.18%,379.00,64.00,"24,256,620.00","34,608",,
PGC30g,382.71,382.71,382.71,382.71,-0.75,-0.20%,382.71,0.12,"45,925.20",-,,
